insert into student (first_name, last_name, gender, age, telephone, scores) values ('Slade', 'Delacroux', 'Male', 58, '9222866088', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Huberto', 'Stein', 'Male', 90, '8017627912', 33);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Manon', 'Tudgay', 'Female', 21, '4867694266', 91);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Eddi', 'Yanshonok', 'Female', 36, '9550847403', 47);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Valenka', 'Causon', 'Female', 1, '5753089550', 48);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Evonne', 'Andrick', 'Female', 89, '6350033191', 95);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Gwen', 'O''Crigane', 'Female', 2, '4989554329', 29);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Aloise', 'Lidster', 'Female', 69, '2839459604', 6);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Emlynne', 'Cullerne', 'Female', 65, '2658118848', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Leontyne', 'Mattosoff', 'Female', 13, '5676845848', 27);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dora', 'McAuslan', 'Female', 67, '2498414711', 5);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Sadella', 'Corradi', 'Female', 8, '9400694202', 76);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Odelinda', 'Deery', 'Female', 54, '0910515964', 57);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Chrisse', 'Force', 'Male', 56, '7196707893', 33);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Genovera', 'McGaw', 'Female', 19, '4501441356', 6);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Pattie', 'Spurgin', 'Male', 91, '2813314153', 4);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Genvieve', 'Ccomini', 'Female', 93, '1535887583', 47);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jarrid', 'Toopin', 'Male', 24, '5543086032', 53);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Merell', 'Boocock', 'Male', 7, '3555172018', 83);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lolita', 'Wonfor', 'Female', 19, '5540897811', 79);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Darell', 'Treharne', 'Female', 46, '8206490329', 21);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Marijo', 'Mannagh', 'Female', 18, '3404273273', 94);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Judd', 'Manie', 'Male', 24, '4634278669', 31);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Worden', 'Trillow', 'Male', 13, '1303431726', 23);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Akim', 'Worvill', 'Male', 34, '9957335146', 27);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Margeaux', 'Halladey', 'Female', 39, '8925592118', 50);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kelcy', 'Fusco', 'Female', 21, '2822703779', 29);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Abe', 'Dunbobbin', 'Male', 88, '5594933972', 34);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Mordy', 'Espino', 'Male', 40, '0803440529', 20);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Wheeler', 'Olorenshaw', 'Male', 90, '0350947848', 51);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lucretia', 'Brabyn', 'Female', 49, '5683770173', 12);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Morgan', 'Gentner', 'Male', 91, '2019976978', 28);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dennie', 'Camus', 'Male', 40, '4841132414', 56);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Arlyne', 'Weed', 'Female', 18, '4569058876', 73);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Reinaldos', 'Silly', 'Male', 34, '3757105125', 75);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Annadiana', 'Motion', 'Female', 64, '6403820990', 100);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ericka', 'McLeman', 'Female', 38, '0066202663', 39);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Minna', 'Asals', 'Female', 63, '3268508952', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jeremy', 'Lemmanbie', 'Male', 91, '8575744402', 8);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bob', 'Missington', 'Male', 6, '8340150855', 28);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kassia', 'Derl', 'Female', 24, '4480280545', 30);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Colette', 'Kupec', 'Female', 54, '9093741276', 78);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Janet', 'Markovic', 'Female', 11, '4725784990', 17);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Anders', 'Zaple', 'Male', 77, '4983737405', 70);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lewiss', 'Eteen', 'Male', 36, '8159203527', 25);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Elisabetta', 'Anselm', 'Female', 31, '6237756760', 4);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kala', 'Lamers', 'Female', 18, '5862796258', 72);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hogan', 'Brettle', 'Male', 9, '3285844698', 22);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Beck', 'Brookz', 'Male', 19, '9709987496', 44);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Matt', 'Skoate', 'Male', 62, '9809341660', 79);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Cathi', 'Ephgrave', 'Female', 48, '1178885453', 54);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Nikoletta', 'Gillhespy', 'Female', 99, '5965351534', 73);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Cosme', 'Lethbrig', 'Male', 30, '1085933733', 56);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Aubert', 'Helling', 'Male', 18, '7698019357', 24);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Esme', 'Jelly', 'Female', 57, '6490766787', 80);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kirstyn', 'Borth', 'Female', 64, '8909840803', 43);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lanita', 'Wintersgill', 'Female', 9, '6901617658', 76);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Chrisy', 'Witherup', 'Male', 66, '8754554659', 51);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Christiano', 'Oxe', 'Male', 99, '8859870798', 96);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Scarlet', 'Epperson', 'Female', 49, '4308809533', 9);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Travers', 'Revens', 'Male', 11, '8012560275', 100);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Rochette', 'Roxbee', 'Female', 63, '9776131956', 23);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Brnaba', 'Darbon', 'Male', 44, '3598069952', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Torrey', 'Kuschek', 'Male', 3, '4989110951', 63);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bennie', 'McCreery', 'Female', 47, '0712670106', 38);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Darnell', 'Yockney', 'Male', 84, '6794347539', 3);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ulric', 'Huguet', 'Male', 78, '4658758849', 53);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Krishna', 'Crum', 'Male', 36, '9780412891', 42);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hilliard', 'Hoyle', 'Male', 25, '1177335417', 19);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Sergent', 'Pee', 'Male', 56, '2026190879', 40);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Sutherland', 'Mattingson', 'Male', 98, '1234282011', 59);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Calli', 'Siddens', 'Female', 22, '8359012687', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Clerc', 'McCoole', 'Male', 94, '2508467332', 12);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ethan', 'Blampied', 'Male', 57, '4216954766', 30);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Tilda', 'Kingham', 'Female', 66, '2124949543', 87);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Josselyn', 'Cervantes', 'Female', 73, '0433030550', 89);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Laurence', 'Perrington', 'Male', 95, '9370184848', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Eadmund', 'Coucher', 'Male', 58, '7985889302', 21);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kamilah', 'St. Quintin', 'Female', 97, '4344422252', 79);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ansley', 'Gildersleaves', 'Female', 3, '1757419926', 10);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bette-ann', 'Wison', 'Female', 60, '2061506569', 55);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kevin', 'Feldman', 'Male', 34, '1247722031', 79);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Alfred', 'Burgoin', 'Male', 30, '0817418660', 81);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Reamonn', 'Omond', 'Male', 40, '7950810890', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Demetra', 'Sherbrooke', 'Female', 5, '9052499306', 6);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Say', 'Millyard', 'Male', 9, '7138078153', 57);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Wilmar', 'Jeffs', 'Male', 82, '3675837963', 83);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Fleurette', 'Angerstein', 'Female', 36, '2341524257', 49);
